"","id","mean_fullfit","mean_bootstrap","median","CIlo","CIhi","Q1","Q3"
"142","SECURED_LOAN_PURPOSE_CODE_2 x SEC_FLAG",0.00019,0.0032,0.00021,0,0.01235,0,0.00529
"143","SECURED_LOAN_PURPOSE_CODE_3 x SEC_FLAG",0.00022,0.0031,0.00023,0,0.01194,0,0.00433
"144","NUM_EXIST_WBC_ACCTS_5 x NA",-0.01033,0.00307,0.00121,-0.00375,0.01812,-0.00066,0.00478
"145","NUM_EXIST_WBC_ACCTS_14 x DRIVERS_LICENCE_IND_2_1",-0.00169,-0.00301,-0.00293,-0.0056,0,-0.00461,-0.00156
"146","NUM_EXIST_WBC_ACCTS_14 x DRIVERS_LICENCE_IND_2_0",0.00169,0.00301,0.00293,0,0.0056,0.00156,0.00461
"147","NUM_EXIST_WBC_ACCTS_9 x NA",-0.00641,-0.00297,-0.00334,-0.01091,0.00717,-0.00688,0
"148","NUM_EXIST_WBC_ACCTS_2 x NUM_APPS",0.02223,0.00289,0.00097,0,0.01105,0,0.00409
"149","LN_PROTECTION_INS_IND_0 x NUM_EXIST_WBC_ACCTS",-0.00848,-0.00287,-1e-04,-0.01143,0,-0.00544,0
"150","LN_PROTECTION_INS_IND_1 x NUM_EXIST_WBC_ACCTS",0.00848,0.00287,1e-04,0,0.01143,0,0.00544
"151","NUM_EXIST_WBC_ACCTS_12 x DRIVERS_LICENCE_IND_2_1",-0.00071,-0.00273,-0.00231,-0.00764,0.00045,-0.00448,-0.00068
"152","NUM_EXIST_WBC_ACCTS_12 x DRIVERS_LICENCE_IND_2_0",0.00071,0.00273,0.00231,-0.00045,0.00764,0.00068,0.00448
"153","NUM_EXIST_WBC_ACCTS_16",0.01366,0.00272,0.00224,-0.00162,0.0094,8e-04,0.00409
"154","NUM_EXIST_WBC_ACCTS_12",-0.03892,0.00271,0.0024,-0.00817,0.01498,-0.00208,0.00728
"155","NUM_EXIST_WBC_ACCTS_3 x LN_PROTECTION_INS_IND_1",-0.03144,-0.00269,-0.00014,-0.01427,0.00027,-0.00394,0
"156","NUM_EXIST_WBC_ACCTS_3 x LN_PROTECTION_INS_IND_0",0.03144,0.00269,0.00014,-0.00027,0.01427,0,0.00394
"157","NUM_EXIST_WBC_ACCTS_22 x DRIVERS_LICENCE_IND_2_1",-0.00159,-0.00262,-0.00267,-0.00407,-0.00108,-0.00354,-0.00194
"158","NUM_EXIST_WBC_ACCTS_22 x DRIVERS_LICENCE_IND_2_0",0.00159,0.00262,0.00267,0.00108,0.00407,0.00194,0.00354
"159","NUM_EXIST_WBC_ACCTS_20",-0.04542,0.00257,0.00227,-0.00053,0.00635,0.00095,0.00403
"160","NUM_EXIST_WBC_ACCTS_6 x NA",-0.01327,-0.00254,-0.00144,-0.01171,0.00541,-0.00561,0.00058
"161","NUM_EXIST_WBC_ACCTS_3 x NUM_APPS",0.0225,0.00254,0.00049,0,0.00976,0,0.00374
"162","LN_TERM_1",0.00197,0.00252,0.0026,0.00077,0.00413,0.00192,0.00322
"163","NUM_EXIST_WBC_ACCTS_29 x DRIVERS_LICENCE_IND_2_1",-8e-04,-0.00248,-0.00235,-0.00482,-5e-04,-0.00318,-0.00159
"164","NUM_EXIST_WBC_ACCTS_29 x DRIVERS_LICENCE_IND_2_0",8e-04,0.00248,0.00235,5e-04,0.00482,0.00159,0.00318
"165","NUM_BUR_ENQ_LST_7TO12_MTHS_1 x NUM_EXIST_WBC_CHQ_ACCTS",-0.00976,-0.00245,0,-0.00978,0,-0.00417,0
"166","SECURED_LOAN_PURPOSE_CODE_1 x SEC_FLAG",2e-05,0.00228,0.00013,0,0.00849,0,0.00366
"167","NUM_EXIST_WBC_ACCTS_5 x NUM_APPS",0.0334,0.00223,0.00066,0,0.00839,0,0.00395
"168","DRIVERS_LICENCE_IND_1_0 x SECURED_LOAN_PURPOSE_CODE",0.00238,0.00215,0.00226,0.00048,0.00326,0.0018,0.00278
"169","DRIVERS_LICENCE_IND_1_1 x SECURED_LOAN_PURPOSE_CODE",-0.00238,-0.00215,-0.00226,-0.00326,-0.00048,-0.00278,-0.0018
"170","NUM_EXIST_WBC_ACCTS_10 x NA",-0.00805,-0.00212,-0.00189,-0.00444,0,-0.00334,-0.00113
"171","NUM_EXIST_WBC_ACCTS_0 x NA",-0.01563,-0.00195,-0.00189,-0.00398,0,-0.00275,-0.00122
"172","NUM_EXIST_WBC_ACCTS_20 x DRIVERS_LICENCE_IND_2_1",0.00199,-0.00194,-0.0019,-0.0038,0,-0.0029,-0.00113
"173","NUM_EXIST_WBC_ACCTS_20 x DRIVERS_LICENCE_IND_2_0",-0.00199,0.00194,0.0019,0,0.0038,0.00113,0.0029
"174","NUM_EXIST_WBC_ACCTS_16 x DRIVERS_LICENCE_IND_2_1",0.00067,-0.00183,-0.00194,-0.00424,0.00061,-0.00314,-2e-04
"175","NUM_EXIST_WBC_ACCTS_16 x DRIVERS_LICENCE_IND_2_0",-0.00067,0.00183,0.00194,-0.00061,0.00424,2e-04,0.00314
"176","NUM_EXIST_WBC_ACCTS_29",-0.05589,0.00181,0.00163,-1e-05,0.00442,0,0.00321
"177","NUM_EXIST_WBC_ACCTS_6 x LN_PROTECTION_INS_IND_0",-0.0183,-0.00163,-0.00033,-0.00645,0,-0.00234,0
"178","NUM_EXIST_WBC_ACCTS_6 x LN_PROTECTION_INS_IND_1",0.0183,0.00163,0.00033,0,0.00645,0,0.00234
"179","NUM_EXIST_WBC_ACCTS_11 x NUM_APPS",-0.04602,-0.00163,-0.00068,-0.00585,0,-0.00284,0
"180","NUM_EXIST_WBC_ACCTS_5 x LN_PROTECTION_INS_IND_0",0.00855,-0.00157,0,-0.01012,0.00152,-0.00216,0
"181","NUM_EXIST_WBC_ACCTS_5 x LN_PROTECTION_INS_IND_1",-0.00855,0.00157,0,-0.00152,0.01012,0,0.00216
"182","NUM_EXIST_WBC_ACCTS_1 x NUM_APPS",-0.01624,-0.00155,-7e-04,-0.00526,2e-05,-0.00294,0
"183","NUM_BUR_ENQ_LST_7TO12_MTHS_1 x NUM_EXIST_WBC_MCD_ACCTS",0.0152,0.00147,0,0,0.00898,0,0.00054
"184","NUM_EXIST_WBC_ACCTS_0 x LN_PROTECTION_INS_IND_0",-0.02742,-0.00142,-0.00028,-0.00808,0,-0.00171,0
"185","NUM_EXIST_WBC_ACCTS_0 x LN_PROTECTION_INS_IND_1",0.02742,0.00142,0.00028,0,0.00808,0,0.00171
